messageKey,en_US,categoryName,subcategoryName
LITERAL_CHARACTERS,characters,SPT,SPT:bip-services|
USERNAME_INVALID_LENGTH,Username must be between {0} and {1} characters in length.,SPT,SPT:bip-services|
PASSWORD_INVALID_LENGTH,Password must be between {0} and {1} characters in length without any white spaces.,SPT,SPT:bip-services|
PASSWORD_RESET_SUCCESS,Password has been successfully reset for user:,SPT,SPT:bip-services|
PASSWORD_USERNAME_MATCH,Password should not be same as username.,SPT,SPT:bip-services|
PASSWORD_RESET_FAILED,Password reset failed for username:,SPT,SPT:bip-services|
PASSWORD_RESET_UNAUTHORIZED,You are not authorized to reset password.,SPT,SPT:bip-services|
PASSWORD_CHANGE_SUCCESS,Password changed successfully.,SPT,SPT:bip-services|
PASSWORD_CHANGE_FAILED,There is some problem changing the password.Please contact SICK system administrator.,SPT,SPT:bip-services|
PASSWORD_INVALID," Please enter valid password. Password should contain atleast one uppercase letter,one lowercase letter and one number,without any whitespaces or special characters.",SPT,SPT:bip-services|
PASSWORD_CHANGE_MATCH,New password and confirm password should be same.,SPT,SPT:bip-services|
CURRENT_PASSWORD_INVALID,Invalid current password,SPT,SPT:bip-services|
CURRENT_NEW_PASSWORD_MATCH,New password should not be same as current password.,SPT,SPT:bip-services|
USER_IS_EXIST,isExist,SPT,SPT:bip-services|
USER_EXIST,Username already exists.,SPT,SPT:bip-services|
USER_NOT_EXIST,User does not exist.,SPT,SPT:bip-services|
USER_NOT_FOUND,User not found.,SPT,SPT:bip-services|
USER_CREATE_SUCCESS,User created successfully.,SPT,SPT:bip-services|
USER_CREATE_FAILED,Unable to create user.,SPT,SPT:bip-services|
USER_CREATE_FAILED_PREFIX_MSG,Failed to create user:,SPT,SPT:bip-services|
USER_DISABLE_SUCCESS,User disabled successfully.,SPT,SPT:bip-services|
USER_DELETE_SUCCESS,User deleted successfully.,SPT,SPT:bip-services|
USER_MODIFY_SUCCESS,Profile modified successfully.,SPT,SPT:bip-services|
USER_MODIFY_FAILED,There is some problem in editing the user profile.Please contact SICK system administrator.,SPT,SPT:bip-services|
USER_DISABLE_FAILED,User not disabled.,SPT,SPT:bip-services|
USER_ID_INVALID,Invalid User Id specified.,SPT,SPT:bip-services|
USERNAME_EMPTY,Username must be provided.,SPT,SPT:bip-services|
USERNAME_EXISTS,Username exists.,SPT,SPT:bip-services|
USERNAME_NOT_EXISTS,Username does not exist.,SPT,SPT:bip-services|
